Year,Region,Number_of_Banks,Number_of_Branches,New_Charters
2007,Florida,281,4816,24
2008,Florida,270,5153,9
2009,Florida,253,5154,3
2010,Florida,220,5015,0
2011,Florida,204,5097,0
2012,Florida,192,5244,0
2013,Florida,183,5181,0
2014,Florida,165,5128,0
2015,Florida,148,5058,0
2016,Florida,138,4949,0
2017,Florida,124,4842,1
2018,Florida,112,4697,1
2019,Florida,99,4639,0
1934,Georgia,260,0,
1935,Georgia,258,24,
1936,Georgia,262,24,
1937,Georgia,264,23,
1938,Georgia,263,24,
1939,Georgia,267,24,
1940,Georgia,266,24,
1941,Georgia,272,24,
1942,Georgia,274,30,
1943,Georgia,275,36,
1944,Georgia,276,41,
1945,Georgia,291,31,
1946,Georgia,304,29,
1947,Georgia,311,29,
1948,Georgia,318,29,
1949,Georgia,328,37,
1950,Georgia,331,41,
1951,Georgia,337,47,
1952,Georgia,341,51,
1953,Georgia,345,57,
1954,Georgia,347,58,
1955,Georgia,349,61,
1956,Georgia,352,67,
1957,Georgia,353,69,
1958,Georgia,356,76,
1959,Georgia,357,87,
1960,Georgia,363,106,
1961,Georgia,362,126,
1962,Georgia,364,141,
1963,Georgia,370,160,
1964,Georgia,381,169,
1965,Georgia,387,196,
1966,Georgia,394,211,2
1967,Georgia,408,227,6
1968,Georgia,417,248,3
1969,Georgia,423,270,7
1970,Georgia,434,296,9
1971,Georgia,428,412,3
1972,Georgia,431,483,5
1973,Georgia,432,558,2
1974,Georgia,443,656,13
1975,Georgia,440,691,3
1976,Georgia,441,718,4
1977,Georgia,440,752,1
1978,Georgia,440,786,1
1979,Georgia,439,829,0
1980,Georgia,435,876,0
1981,Georgia,426,940,0
1982,Georgia,416,928,2
1983,Georgia,393,992,1
1984,Georgia,384,1063,7
1985,Georgia,373,1142,12
1986,Georgia,369,1212,11
1987,Georgia,358,1279,14
1988,Georgia,379,1303,27
1989,Georgia,392,1348,18
1990,Georgia,409,1420,20
1991,Georgia,405,1472,7
1992,Georgia,403,1483,4
1993,Georgia,399,1562,4
1994,Georgia,386,1533,1
1995,Georgia,383,1544,4
1996,Georgia,354,1628,5
1997,Georgia,353,1708,12
1998,Georgia,349,1791,15
1999,Georgia,345,1860,14
2000,Georgia,338,1959,17
2001,Georgia,324,2007,9
2002,Georgia,319,2083,10
2003,Georgia,323,2097,13
2004,Georgia,325,2234,14
2005,Georgia,331,2226,13
2006,Georgia,333,2317,21
2007,Georgia,332,2398,11
2008,Georgia,314,2486,10
2009,Georgia,287,2440,0
2010,Georgia,250,2397,0
2011,Georgia,226,2389,0
2012,Georgia,212,2358,0
2013,Georgia,208,2292,0
2014,Georgia,197,2261,0
2015,Georgia,183,2242,0
2016,Georgia,171,2199,0
2017,Georgia,165,2157,0
2018,Georgia,159,2161,0
2019,Georgia,150,2129,2
1934,Guam,0,0,
1935,Guam,0,0,
1936,Guam,0,0,
1937,Guam,0,0,
1938,Guam,0,0,
1939,Guam,0,0,
1940,Guam,0,0,
1941,Guam,0,0,
1942,Guam,0,0,
1943,Guam,0,0,
1944,Guam,0,0,
1945,Guam,0,0,
1946,Guam,0,0,
1947,Guam,0,0,
1948,Guam,0,0,
1949,Guam,0,0,
1950,Guam,0,0,
1951,Guam,0,0,
1952,Guam,0,0,
1953,Guam,0,0,
1954,Guam,0,0,
1955,Guam,0,0,
1956,Guam,0,0,
1957,Guam,0,0,
1958,Guam,0,0,
1959,Guam,0,0,
1960,Guam,0,0,
1961,Guam,0,0,
1962,Guam,0,0,
1963,Guam,0,0,
1964,Guam,0,0,
1965,Guam,0,4,
1966,Guam,0,5,0
1967,Guam,0,5,0
1968,Guam,0,5,0
1969,Guam,0,6,0
1970,Guam,0,8,0
1971,Guam,0,10,0
1972,Guam,1,13,1
1973,Guam,1,14,0
1974,Guam,1,15,0
1975,Guam,1,17,0
1976,Guam,,14,0
1977,Guam,1,12,0
1978,Guam,1,12,0
1979,Guam,1,13,0
1980,Guam,1,16,0
1981,Guam,1,14,0
1982,Guam,1,15,0
1983,Guam,1,15,0
1984,Guam,1,15,0
1985,Guam,1,16,0
1986,Guam,1,17,0
1987,Guam,1,16,0
1988,Guam,1,15,0
1989,Guam,1,15,0
1990,Guam,1,15,0
1991,Guam,2,17,1
1992,Guam,2,19,0
1993,Guam,2,21,0
1994,Guam,2,21,0
1995,Guam,2,23,0
1996,Guam,2,25,0
1997,Guam,2,25,0
1998,Guam,2,28,0
1999,Guam,2,28,0
2000,Guam,2,28,0
2001,Guam,2,27,0
2002,Guam,2,26,0
2003,Guam,2,30,0
2004,Guam,2,27,0
2005,Guam,2,27,0
2006,Guam,2,27,0
2007,Guam,2,27,0
2008,Guam,2,27,0
2009,Guam,2,27,0
2010,Guam,2,27,0
2011,Guam,2,27,0
2012,Guam,2,26,0
2013,Guam,2,21,0
2014,Guam,2,21,0
2015,Guam,2,20,0
2016,Guam,2,19,0
2017,Guam,2,18,0
2018,Guam,2,18,0
2019,Guam,2,17,0
1934,Hawaii,0,0,
1935,Hawaii,1,1,
1936,Hawaii,1,2,
1937,Hawaii,1,2,
1938,Hawaii,1,2,
1939,Hawaii,1,2,
1940,Hawaii,1,2,
1941,Hawaii,1,1,
1942,Hawaii,1,0,
1943,Hawaii,1,0,
1944,Hawaii,1,0,
1945,Hawaii,1,0,
1946,Hawaii,1,0,
1947,Hawaii,1,0,
1948,Hawaii,1,0,
1949,Hawaii,1,0,
1950,Hawaii,1,0,
1951,Hawaii,2,0,
1952,Hawaii,2,1,
1953,Hawaii,2,3,
1954,Hawaii,3,3,
1955,Hawaii,3,4,
1956,Hawaii,3,6,
1957,Hawaii,3,6,
1958,Hawaii,3,7,
1959,Hawaii,6,77,
1960,Hawaii,7,85,
1961,Hawaii,7,90,
1962,Hawaii,7,105,
1963,Hawaii,7,111,
1964,Hawaii,7,114,
1965,Hawaii,7,115,
1966,Hawaii,7,119,0
1967,Hawaii,7,122,0
1968,Hawaii,7,122,0
1969,Hawaii,7,128,0
1970,Hawaii,7,138,0
1971,Hawaii,7,140,0
1972,Hawaii,7,143,0
1973,Hawaii,8,147,1
1974,Hawaii,8,148,0
1975,Hawaii,8,151,0
1976,Hawaii,8,153,0
1977,Hawaii,8,155,0
1978,Hawaii,8,157,0
1979,Hawaii,9,160,1
1980,Hawaii,9,162,0
1981,Hawaii,9,163,0
1982,Hawaii,10,167,1
1983,Hawaii,14,184,0
1984,Hawaii,21,0,0
1985,Hawaii,22,0,0
1986,Hawaii,22,0,0
1987,Hawaii,22,0,0
1988,Hawaii,22,0,0
1989,Hawaii,21,0,0
1990,Hawaii,21,0,0
1991,Hawaii,20,0,0
1992,Hawaii,17,0,0
1993,Hawaii,17,0,0
1994,Hawaii,16,0,0
1995,Hawaii,14,0,0
1996,Hawaii,14,0,0
1997,Hawaii,14,0,0
1998,Hawaii,12,0,0
1999,Hawaii,10,0,0
2000,Hawaii,8,0,0
2001,Hawaii,8,0,0
2002,Hawaii,7,0,0
2003,Hawaii,6,0,0
2004,Hawaii,6,0,0
2005,Hawaii,5,0,0
2006,Hawaii,7,0,2
2007,Hawaii,7,0,0
2008,Hawaii,7,0,0
2009,Hawaii,7,0,0
2010,Hawaii,7,0,0
2011,Hawaii,7,0,0
2012,Hawaii,7,0,0
2013,Hawaii,7,0,0
2014,Hawaii,7,0,0
2015,Hawaii,6,0,0
2016,Hawaii,6,0,0
2017,Hawaii,6,0,0
2018,Hawaii,6,0,0
2019,Hawaii,6,0,0
1934,Idaho,60,0,
1935,Idaho,57,26,
1936,Idaho,50,32,
1937,Idaho,50,31,
1938,Idaho,50,31,
1939,Idaho,49,32,
1940,Idaho,49,37,
1941,Idaho,49,37,
1942,Idaho,45,39,
1943,Idaho,46,42,
1944,Idaho,45,43,
1945,Idaho,45,40,
1946,Idaho,45,42,
1947,Idaho,47,45,
1948,Idaho,46,48,
1949,Idaho,42,53,
1950,Idaho,42,55,
1951,Idaho,41,58,
1952,Idaho,39,62,
1953,Idaho,38,65,
1954,Idaho,38,65,
1955,Idaho,36,67,
1956,Idaho,33,72,
1957,Idaho,28,78,
1958,Idaho,28,81,
1959,Idaho,32,81,
1960,Idaho,32,83,
1961,Idaho,32,88,
1962,Idaho,31,93,
1963,Idaho,27,111,
1964,Idaho,24,120,
1965,Idaho,25,127,
1966,Idaho,25,140,0
1967,Idaho,26,141,1
1968,Idaho,26,142,0
1969,Idaho,26,149,0
1970,Idaho,24,156,0
1971,Idaho,24,165,0
1972,Idaho,24,170,0
1973,Idaho,24,179,1
1974,Idaho,24,191,1
1975,Idaho,24,200,0
1976,Idaho,24,211,0
1977,Idaho,24,215,1
1978,Idaho,24,228,0
1979,Idaho,27,236,3
1980,Idaho,26,247,0
1981,Idaho,27,259,1
1982,Idaho,27,261,0
1983,Idaho,26,262,0
1984,Idaho,25,273,0
1985,Idaho,26,275,1
1986,Idaho,24,278,0
1987,Idaho,23,277,0
1988,Idaho,22,275,0
1989,Idaho,23,275,1
1990,Idaho,22,279,0
1991,Idaho,22,300,1
1992,Idaho,20,292,0
1993,Idaho,21,305,1
1994,Idaho,19,322,0
1995,Idaho,19,329,0
1996,Idaho,17,334,1
1997,Idaho,17,346,4
1998,Idaho,17,342,0
1999,Idaho,17,358,0
2000,Idaho,18,368,1
2001,Idaho,17,362,1
2002,Idaho,17,373,0
2003,Idaho,15,380,0
2004,Idaho,14,389,0
2005,Idaho,15,408,1
2006,Idaho,16,435,1
2007,Idaho,16,447,1
2008,Idaho,16,492,1
2009,Idaho,16,489,0
2010,Idaho,16,489,0
2011,Idaho,17,500,0
2012,Idaho,15,498,0
2013,Idaho,15,512,0
2014,Idaho,11,501,0
2015,Idaho,11,495,0
2016,Idaho,11,480,0
2017,Idaho,12,478,0
2018,Idaho,12,467,0
2019,Idaho,10,451,0
1934,Illinois,863,0,
1935,Illinois,864,0,
1936,Illinois,863,0,
1937,Illinois,856,0,
1938,Illinois,839,0,
1939,Illinois,831,0,
1940,Illinois,824,0,
1941,Illinois,816,0,
1942,Illinois,815,0,
1943,Illinois,817,3,
1944,Illinois,822,6,
1945,Illinois,840,5,
1946,Illinois,856,3,
1947,Illinois,867,3,
1948,Illinois,870,3,
1949,Illinois,874,3,
1950,Illinois,876,2,
1951,Illinois,882,2,
1952,Illinois,883,3,
1953,Illinois,889,3,
1954,Illinois,902,3,
1955,Illinois,913,4,
1956,Illinois,922,4,
1957,Illinois,933,4,
1958,Illinois,940,4,
1959,Illinois,949,4,
1960,Illinois,960,4,
1961,Illinois,970,4,
1962,Illinois,993,4,
1963,Illinois,1003,4,
1964,Illinois,1024,5,
1965,Illinois,1044,5,
1966,Illinois,1053,5,8
1967,Illinois,1062,18,6
1968,Illinois,1069,45,9
1969,Illinois,1085,74,18
1970,Illinois,1105,98,20
1971,Illinois,1131,123,28
1972,Illinois,1149,148,19
1973,Illinois,1165,175,16
1974,Illinois,1183,194,18
1975,Illinois,1206,216,24
1976,Illinois,1225,233,19
1977,Illinois,1235,306,11
1978,Illinois,1241,394,8
1979,Illinois,1250,452,13
1980,Illinois,1253,534,5
1981,Illinois,1252,627,4
1982,Illinois,1250,619,5
1983,Illinois,1247,663,5
1984,Illinois,1241,711,1
1985,Illinois,1234,747,1
1986,Illinois,1221,796,1
1987,Illinois,1211,847,5
1988,Illinois,1149,957,6
1989,Illinois,1119,1043,8
1990,Illinois,1087,1172,4
1991,Illinois,1061,1296,10
1992,Illinois,1006,1389,6
1993,Illinois,958,1545,4
1994,Illinois,906,1675,4
1995,Illinois,864,1846,14
1996,Illinois,833,2043,9
1997,Illinois,784,2287,9
1998,Illinois,745,2541,7
1999,Illinois,725,2684,16
2000,Illinois,711,2834,13
2001,Illinois,692,2887,4
2002,Illinois,677,3023,2
2003,Illinois,664,3163,2
2004,Illinois,645,3383,3
2005,Illinois,611,3619,10
2006,Illinois,592,3837,7
2007,Illinois,581,4001,8
2008,Illinois,570,4262,2
2009,Illinois,546,4186,1
2010,Illinois,527,4180,1
2011,Illinois,498,4208,0
2012,Illinois,485,4148,0
2013,Illinois,469,4082,0
2014,Illinois,452,4031,0
2015,Illinois,429,3961,0
2016,Illinois,414,3901,0
2017,Illinois,398,3820,0
2018,Illinois,381,3749,0
2019,Illinois,363,3684,0
1934,Indiana,493,0,
1935,Indiana,500,47,
1936,Indiana,485,52,
1937,Indiana,483,55,
1938,Indiana,481,59,
1939,Indiana,476,64,
1940,Indiana,475,66,
1941,Indiana,473,67,
1942,Indiana,473,68,
1943,Indiana,473,70,
1944,Indiana,472,75,
1945,Indiana,471,78,
1946,Indiana,474,82,
1947,Indiana,473,88,
1948,Indiana,473,96,
1949,Indiana,477,99,
1950,Indiana,475,108,
1951,Indiana,471,120,
1952,Indiana,471,125,
1953,Indiana,469,141,
1954,Indiana,466,153,
1955,Indiana,466,166,
1956,Indiana,463,193,
1957,Indiana,457,223,
1958,Indiana,452,248,
1959,Indiana,443,276,
1960,Indiana,437,311,
1961,Indiana,437,340,
1962,Indiana,434,366,
1963,Indiana,432,399,
1964,Indiana,426,441,
1965,Indiana,418,471,
1966,Indiana,415,507,0
1967,Indiana,413,542,1
1968,Indiana,411,576,0
1969,Indiana,407,601,1
1970,Indiana,404,632,0
1971,Indiana,405,671,1
1972,Indiana,405,719,1
1973,Indiana,407,777,4
1974,Indiana,408,842,3
1975,Indiana,405,909,2
1976,Indiana,406,948,3
1977,Indiana,407,995,1
1978,Indiana,404,1035,2
1979,Indiana,404,1082,1
1980,Indiana,405,1129,1
1981,Indiana,405,1181,0
1982,Indiana,400,1193,1
1983,Indiana,390,1222,0
1984,Indiana,378,1246,0
1985,Indiana,371,1273,0
1986,Indiana,356,1323,0
1987,Indiana,345,1335,0
1988,Indiana,338,1372,3
1989,Indiana,312,1422,0
1990,Indiana,301,1474,0
1991,Indiana,284,1524,0
1992,Indiana,270,1547,0
1993,Indiana,239,1588,1
1994,Indiana,222,1600,2
1995,Indiana,211,1643,1
1996,Indiana,204,1691,1
1997,Indiana,185,1744,3
1998,Indiana,169,1754,3
1999,Indiana,158,1767,3
2000,Indiana,153,1741,3
2001,Indiana,154,1806,2
2002,Indiana,151,1812,0
2003,Indiana,148,1837,1
2004,Indiana,140,1905,1
2005,Indiana,131,1945,1
2006,Indiana,122,2036,1
2007,Indiana,114,2054,0
2008,Indiana,111,2079,0
2009,Indiana,104,2093,0
2010,Indiana,102,2073,0
2011,Indiana,101,2064,0
2012,Indiana,99,2050,0
2013,Indiana,96,1984,0
2014,Indiana,95,1983,0
2015,Indiana,92,1937,0
2016,Indiana,87,1911,0
2017,Indiana,84,1853,0
2018,Indiana,82,1786,0
2019,Indiana,80,1747,0
1934,Iowa,575,0,
1935,Iowa,582,115,
1936,Iowa,589,133,
1937,Iowa,589,138,
1938,Iowa,584,145,
1939,Iowa,584,149,
1940,Iowa,586,147,
1941,Iowa,589,151,
1942,Iowa,587,153,
1943,Iowa,588,151,
1944,Iowa,586,152,
1945,Iowa,593,150,
1946,Iowa,596,154,
1947,Iowa,602,155,
1948,Iowa,606,157,
1949,Iowa,604,159,
1950,Iowa,606,159,
1951,Iowa,606,160,
1952,Iowa,609,160,
1953,Iowa,612,161,
1954,Iowa,615,160,
1955,Iowa,619,160,
1956,Iowa,622,159,
1957,Iowa,624,159,
1958,Iowa,628,161,
1959,Iowa,632,170,
1960,Iowa,635,181,
1961,Iowa,649,190,
1962,Iowa,652,194,
1963,Iowa,657,212,
1964,Iowa,659,221,
1965,Iowa,659,235,
1966,Iowa,661,250,2
1967,Iowa,661,260,1
1968,Iowa,661,282,0
1969,Iowa,658,298,0
1970,Iowa,658,318,1
1971,Iowa,658,329,0
1972,Iowa,661,345,3
1973,Iowa,661,369,2
1974,Iowa,657,385,0
1975,Iowa,654,408,0
1976,Iowa,652,421,0
1977,Iowa,649,509,0
1978,Iowa,650,500,1
1979,Iowa,651,538,0
1980,Iowa,651,572,1
1981,Iowa,649,593,0
1982,Iowa,643,514,2
1983,Iowa,637,533,1
1984,Iowa,632,544,0
1985,Iowa,625,547,0
1986,Iowa,614,544,0
1987,Iowa,597,547,1
1988,Iowa,585,548,1
1989,Iowa,576,559,0
1990,Iowa,562,588,0
1991,Iowa,553,617,1
1992,Iowa,542,640,0
1993,Iowa,530,664,1
1994,Iowa,517,706,2
1995,Iowa,491,742,1
1996,Iowa,467,787,7
1997,Iowa,453,882,6
1998,Iowa,443,877,5
1999,Iowa,440,881,6
2000,Iowa,431,878,4
2001,Iowa,417,930,2
2002,Iowa,410,952,2
2003,Iowa,400,994,1
2004,Iowa,395,1030,0
2005,Iowa,392,1116,3
2006,Iowa,383,1140,2
2007,Iowa,372,1155,0
2008,Iowa,361,1175,0
2009,Iowa,352,1200,0
2010,Iowa,345,1197,0
2011,Iowa,333,1229,0
2012,Iowa,329,1249,0
2013,Iowa,322,1258,0
2014,Iowa,314,1246,0
2015,Iowa,305,1246,0
2016,Iowa,297,1237,0
2017,Iowa,292,1223,0
2018,Iowa,285,1219,0
2019,Iowa,270,1229,0
1934,Kansas,431,0,
1935,Kansas,460,0,
1936,Kansas,460,0,
1937,Kansas,457,0,
1938,Kansas,456,0,
1939,Kansas,453,0,
1940,Kansas,449,0,
1941,Kansas,455,0,
1942,Kansas,456,0,
1943,Kansas,451,2,
1944,Kansas,449,6,
1945,Kansas,446,3,
1946,Kansas,452,1,
1947,Kansas,452,0,
1948,Kansas,455,0,
1949,Kansas,461,0,
1950,Kansas,466,0,
1951,Kansas,468,2,
1952,Kansas,474,2,
1953,Kansas,477,3,
1954,Kansas,487,3,
1955,Kansas,502,2,
1956,Kansas,548,3,
1957,Kansas,552,5,
1958,Kansas,557,14,
1959,Kansas,585,20,
1960,Kansas,583,25,
1961,Kansas,587,32,
1962,Kansas,590,38,
1963,Kansas,591,45,
1964,Kansas,593,50,
1965,Kansas,596,49,
1966,Kansas,599,53,2
1967,Kansas,600,58,4
1968,Kansas,600,61,0
1969,Kansas,602,61,3
1970,Kansas,600,69,0
1971,Kansas,602,73,2
1972,Kansas,606,76,5
1973,Kansas,611,89,5
1974,Kansas,612,127,2
1975,Kansas,615,151,4
1976,Kansas,615,169,0
1977,Kansas,615,208,1
1978,Kansas,616,256,1
1979,Kansas,616,254,1
1980,Kansas,619,272,6
1981,Kansas,618,282,0
1982,Kansas,620,208,2
1983,Kansas,623,211,4
1984,Kansas,628,216,7
1985,Kansas,624,216,4
1986,Kansas,613,221,0
1987,Kansas,601,240,1
1988,Kansas,590,271,2
1989,Kansas,573,308,1
1990,Kansas,555,407,3
1991,Kansas,528,475,0
1992,Kansas,508,494,0
1993,Kansas,490,525,0
1994,Kansas,458,586,1
1995,Kansas,433,648,4
1996,Kansas,416,698,2
1997,Kansas,403,763,0
1998,Kansas,393,808,3
1999,Kansas,387,843,3
2000,Kansas,376,873,2
2001,Kansas,373,926,4
2002,Kansas,363,968,1
2003,Kansas,362,974,1
2004,Kansas,355,1009,0
2005,Kansas,354,1062,2
2006,Kansas,346,1082,1
2007,Kansas,340,1108,3
2008,Kansas,331,1125,0
2009,Kansas,323,1140,0
2010,Kansas,311,1152,0
2011,Kansas,304,1159,0
2012,Kansas,286,1158,0
2013,Kansas,277,1136,0
2014,Kansas,268,1128,0
2015,Kansas,260,1129,0
2016,Kansas,253,1130,0
2017,Kansas,238,1131,0
2018,Kansas,226,1129,0
2019,Kansas,219,1136,0
1934,Kentucky,394,0,
1935,Kentucky,392,30,
1936,Kentucky,386,28,
1937,Kentucky,379,29,
1938,Kentucky,376,28,
1939,Kentucky,374,28,
1940,Kentucky,371,29,
1941,Kentucky,372,29,
1942,Kentucky,371,32,
1943,Kentucky,365,35,
1944,Kentucky,363,35,
1945,Kentucky,363,35,
1946,Kentucky,362,34,
1947,Kentucky,362,36,
1948,Kentucky,360,39,
1949,Kentucky,362,41,
1950,Kentucky,362,44,
1951,Kentucky,361,51,
1952,Kentucky,362,57,
1953,Kentucky,360,59,
1954,Kentucky,354,66,
1955,Kentucky,353,84,
1956,Kentucky,352,96,
1957,Kentucky,351,108,
1958,Kentucky,349,116,
1959,Kentucky,348,132,
1960,Kentucky,345,146,
1961,Kentucky,342,165,
1962,Kentucky,342,184,
1963,Kentucky,341,198,
1964,Kentucky,342,213,
1965,Kentucky,340,232,
1966,Kentucky,342,243,2
1967,Kentucky,340,268,0
1968,Kentucky,341,286,0
1969,Kentucky,340,306,0
1970,Kentucky,339,328,3
1971,Kentucky,339,361,0
1972,Kentucky,337,394,1
1973,Kentucky,341,424,2
1974,Kentucky,341,471,0
1975,Kentucky,341,509,2
1976,Kentucky,342,560,3
1977,Kentucky,343,606,1
1978,Kentucky,343,644,0
1979,Kentucky,342,697,1
1980,Kentucky,344,761,2
1981,Kentucky,343,794,0
1982,Kentucky,342,736,2
1983,Kentucky,336,749,1
1984,Kentucky,336,756,2
1985,Kentucky,333,770,1
1986,Kentucky,331,784,0
1987,Kentucky,330,797,0
1988,Kentucky,332,825,3
1989,Kentucky,335,844,3
1990,Kentucky,332,860,4
1991,Kentucky,320,887,1
1992,Kentucky,311,912,3
1993,Kentucky,309,929,2
1994,Kentucky,287,1026,1
1995,Kentucky,276,1034,1
1996,Kentucky,275,1070,8
1997,Kentucky,271,1109,8
1998,Kentucky,261,1212,3
1999,Kentucky,248,1263,2
2000,Kentucky,233,1335,6
2001,Kentucky,230,1382,5
2002,Kentucky,221,1400,1
2003,Kentucky,217,1424,1
2004,Kentucky,214,1482,2
2005,Kentucky,205,1509,1
2006,Kentucky,198,1550,3
2007,Kentucky,186,1599,0
2008,Kentucky,179,1613,0
2009,Kentucky,180,1611,1
2010,Kentucky,179,1562,0
2011,Kentucky,178,1583,0
2012,Kentucky,176,1555,0
2013,Kentucky,172,1544,0
2014,Kentucky,168,1517,0
2015,Kentucky,157,1510,0
2016,Kentucky,152,1489,0
2017,Kentucky,143,1479,0
2018,Kentucky,138,1471,0
2019,Kentucky,131,1467,0
1934,Louisiana,147,0,
1935,Louisiana,148,51,
1936,Louisiana,144,53,
1937,Louisiana,145,53,
1938,Louisiana,145,53,
1939,Louisiana,144,53,
1940,Louisiana,144,54,
1941,Louisiana,145,55,
1942,Louisiana,143,56,
1943,Louisiana,146,64,
1944,Louisiana,148,63,
1945,Louisiana,150,61,
1946,Louisiana,154,62,
1947,Louisiana,159,63,
1948,Louisiana,160,65,
1949,Louisiana,161,72,
1950,Louisiana,164,77,
1951,Louisiana,165,83,
1952,Louisiana,166,89,
1953,Louisiana,170,95,
1954,Louisiana,171,102,
1955,Louisiana,174,117,
1956,Louisiana,179,129,
1957,Louisiana,181,141,
1958,Louisiana,185,156,
1959,Louisiana,186,162,
1960,Louisiana,189,176,
1961,Louisiana,191,189,
1962,Louisiana,195,203,
1963,Louisiana,198,220,
1964,Louisiana,208,236,
1965,Louisiana,213,248,
1966,Louisiana,219,286,6
1967,Louisiana,225,305,6
1968,Louisiana,228,329,3
1969,Louisiana,230,359,2
1970,Louisiana,230,393,1
1971,Louisiana,234,414,4
1972,Louisiana,237,443,5
1973,Louisiana,244,490,8
1974,Louisiana,249,541,4
1975,Louisiana,254,585,5
1976,Louisiana,254,634,1
1977,Louisiana,254,670,1
1978,Louisiana,256,715,2
1979,Louisiana,262,764,7
1980,Louisiana,269,805,7
1981,Louisiana,273,855,4
1982,Louisiana,278,844,6
1983,Louisiana,286,878,10
1984,Louisiana,302,906,17
1985,Louisiana,302,927,2
1986,Louisiana,298,929,3
1987,Louisiana,271,927,0
1988,Louisiana,253,925,0
1989,Louisiana,232,936,0
1990,Louisiana,231,973,0
1991,Louisiana,226,962,1
1992,Louisiana,221,987,0
1993,Louisiana,217,1013,0
1994,Louisiana,200,1099,0
1995,Louisiana,185,1109,0
1996,Louisiana,172,1216,0
1997,Louisiana,158,1269,3
1998,Louisiana,150,1259,5
1999,Louisiana,153,1244,9
2000,Louisiana,149,1255,1
2001,Louisiana,143,1266,0
2002,Louisiana,140,1274,0
2003,Louisiana,139,1291,0
2004,Louisiana,138,1323,1
2005,Louisiana,136,1341,1
2006,Louisiana,139,1369,3
2007,Louisiana,136,1381,0
2008,Louisiana,134,1403,1
2009,Louisiana,133,1410,0
2010,Louisiana,132,1420,1
2011,Louisiana,124,1449,0
2012,Louisiana,123,1434,0
2013,Louisiana,120,1424,0
2014,Louisiana,117,1399,0
2015,Louisiana,114,1408,0
2016,Louisiana,112,1380,0
2017,Louisiana,107,1333,0
2018,Louisiana,100,1305,0
2019,Louisiana,98,1287,0
1934,Maine,66,0,
1935,Maine,62,52,
1936,Maine,62,52,
1937,Maine,61,52,
1938,Maine,61,52,
1939,Maine,60,52,
1940,Maine,59,53,
1941,Maine,57,54,
1942,Maine,57,55,
1943,Maine,57,55,
1944,Maine,57,56,
1945,Maine,55,59,
1946,Maine,55,60,
1947,Maine,54,61,
1948,Maine,54,61,
1949,Maine,54,61,
1950,Maine,53,62,
1951,Maine,54,66,
1952,Maine,55,72,
1953,Maine,55,74,
1954,Maine,54,80,
1955,Maine,52,85,
1956,Maine,51,92,
1957,Maine,51,101,
1958,Maine,49,109,
1959,Maine,48,113,
1960,Maine,42,123,
1961,Maine,43,131,
1962,Maine,41,145,
1963,Maine,40,151,
1964,Maine,40,154,
1965,Maine,39,166,
1966,Maine,41,180,0
1967,Maine,41,191,0
1968,Maine,40,197,0
1969,Maine,41,206,0
1970,Maine,39,226,0
1971,Maine,40,237,1
1972,Maine,43,248,4
1973,Maine,44,260,1
1974,Maine,45,277,1
1975,Maine,45,287,1
1976,Maine,43,291,0
1977,Maine,43,297,0
1978,Maine,43,293,0
1979,Maine,41,299,0
1980,Maine,41,308,0
1981,Maine,36,356,0
1982,Maine,35,316,0
1983,Maine,31,322,0
1984,Maine,26,327,1
1985,Maine,25,327,0
1986,Maine,22,333,0
1987,Maine,23,338,1
1988,Maine,19,336,0
1989,Maine,20,333,1
1990,Maine,21,331,1
1991,Maine,21,317,1
1992,Maine,21,310,1
1993,Maine,20,300,0
1994,Maine,20,295,0
1995,Maine,20,276,1
1996,Maine,20,278,0
1997,Maine,17,265,0
1998,Maine,17,224,0
1999,Maine,16,227,0
2000,Maine,15,296,0
2001,Maine,15,281,0
2002,Maine,15,278,0
2003,Maine,16,271,1
2004,Maine,16,280,0
2005,Maine,14,284,0
2006,Maine,14,302,0
2007,Maine,13,292,0
2008,Maine,8,259,0
2009,Maine,8,255,0
2010,Maine,8,249,0
2011,Maine,8,248,0
2012,Maine,7,246,0
2013,Maine,6,229,0
2014,Maine,6,227,0
2015,Maine,6,270,0
2016,Maine,6,265,0
2017,Maine,6,257,0
2018,Maine,6,253,0
2019,Maine,6,244,0
1984,Marshall Islands,,4,
1985,Marshall Islands,,4,
1986,Marshall Islands,,4,
1987,Marshall Islands,,4,
1988,Marshall Islands,,5,
1989,Marshall Islands,,5,
1990,Marshall Islands,,5,
1991,Marshall Islands,,5,
1992,Marshall Islands,,5,
1993,Marshall Islands,,5,
1994,Marshall Islands,,5,
1995,Marshall Islands,,5,
1996,Marshall Islands,,5,
1997,Marshall Islands,,5,
1998,Marshall Islands,,5,
1999,Marshall Islands,,5,
2000,Marshall Islands,,5,
2001,Marshall Islands,,5,
2002,Marshall Islands,,3,
2003,Marshall Islands,,2,
2004,Marshall Islands,,1,
2005,Marshall Islands,,1,
2006,Marshall Islands,,1,
2007,Marshall Islands,,1,
2008,Marshall Islands,,1,
2009,Marshall Islands,,1,
2010,Marshall Islands,,1,
2011,Marshall Islands,,1,
2012,Marshall Islands,,1,
2013,Marshall Islands,,1,
2014,Marshall Islands,,1,
2015,Marshall Islands,,1,
2016,Marshall Islands,,1,
2017,Marshall Islands,,1,
2018,Marshall Islands,,1,
2019,Marshall Islands,,1,
1934,Maryland,184,0,
1935,Maryland,184,77,
1936,Maryland,183,78,
